adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,sore_throat_adult,Acute sore throat / pharyngeal irritation,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_70381cfa14af,,False,RX1,RX NOW,BDS003762,FRM0006,False,False,
2 sprays to mouth/throat TID,5 days,,,,sore_throat_adult,Acute sore throat / pharyngeal irritation,False,False,source_missing_hide_from_rx,False,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,gold_regimen_8ce2fcc82d18,,False,RX2,RX NOW,BDS002411,FRM0006,False,False,
2–4 sprays to throat PRN,5 days,,,,sore_throat_adult,Acute sore throat / pharyngeal irritation,False,False,source_missing_hide_from_rx,False,Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,gold_regimen_8f817548f759,,False,SWAP1,SWAP,BDS006462,FRM0006,False,False,
1–2 drops OU / affected eye PRN,7 days,,,,dry_eye_adult,Symptomatic dry eye syndrome,False,False,source_missing_hide_from_rx,False,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),gold_regimen_ceb640b64a44,,False,RX1,RX NOW,BDS004035,FRM0007,False,False,
1–2 drops OU / affected eye PRN,7 days,,,,dry_eye_adult,Symptomatic dry eye syndrome,False,False,source_missing_hide_from_rx,False,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,gold_regimen_bb768ea25faa,,False,SWAP1,SWAP,BDS001552,FRM0007,False,False,
1 sachet in 150 mL water; small frequent sips,1–2 days,,,,acute_watery_diarrhea_peds,Acute watery diarrhea (pediatric starter row),False,False,source_missing_hide_from_rx,False,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,gold_regimen_8e287cc7ecbf,,False,RX1,RX NOW,BDS008282,FRM0008,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_b910d0e1fe24,,False,RX1,RX NOW,BDS004213,FRM0001,False,False,
2 sprays/nostril OD,7–14 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),gold_regimen_7de5f03d9e6e,,False,RX2,RX NOW,BDS002805,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_f97c5d658f0e,,False,SWAP1,SWAP,BDS003747,FRM0001,False,False,
1 tab PO q4–6h,3–5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_eb8f1ddf3497,,False,SWAP2,SWAP,BDS045630,FRM0001,False,False,
