product_id,display_name,generic_key,form,route,concentration,dose_output_status,auto_dose_enabled,age_bw_rule,dose_basis,max_dose,source_ids,review_reasons,source_runtime_path,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap,next_action,source_ids,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap,next_action
BDS002407,Kit-F Drops [Paracetamol 60 mg./0.6 ml.],paracetamol,drops,oral,"{""manual_review"": false, ""matched_text"": ""60 mg./0.6 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[10],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS007583,Newtamol Syrup [Paracetamol 150 mg./5 ml.],paracetamol,syrup,oral,"{""manual_review"": false, ""matched_text"": ""150 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 30.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[11],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS002861,Panadol Orange Suspension [Paracetamol 250 mg./5 ml.],paracetamol,suspension,oral,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[12],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS002847,Panadol Strawberry Suspension [Paracetamol 120 mg./5 ml.],paracetamol,suspension,oral,"{""manual_review"": false, ""matched_text"": ""120 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 24.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[13],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS008137,Poro Suspension [Paracetamol 250 mg./5 ml.],paracetamol,suspension,oral,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[14],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS003597,Sara Infant Drops (รสองุ่น) [Paracetamol 60 mg./0.6 ml.],paracetamol,drops,oral,"{""manual_review"": false, ""matched_text"": ""60 mg./0.6 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[15],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS003711,Tempra Drop [Paracetamol 80 mg./0.8 ml.],paracetamol,drops,oral,"{""manual_review"": false, ""matched_text"": ""80 mg./0.8 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[16],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS003737,Tylenol Drop [Paracetamol 80 mg./0.8 ml.],paracetamol,drops,oral,"{""manual_review"": false, ""matched_text"": ""80 mg./0.8 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 100.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[17],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS003763,Tylenol Suspension [Paracetamol 160 mg./5 ml.],paracetamol,suspension,oral,"{""manual_review"": false, ""matched_text"": ""160 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 32.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[18],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS001015,Aerius Syrup [Desloratadine 0.5 mg./1 ml.],desloratadine,syrup,oral,"{""manual_review"": false, ""matched_text"": ""0.5 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.5}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[19],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS007003,Asiatapp Infant Drops (ควบคุมจำนวน) [Brompheniramine Maleate 2.0 mg.+Phenylephrine HCl 2.5 mg./1 ml.],brompheniramine maleate + phenylephrine hcl,drops,oral,"{""manual_review"": false, ""matched_text"": ""2.5 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 2.5}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[20],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS008047,Asiatapp Syrup (ควบคุมจำนวน) [Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg./5 ml.],brompheniramine maleate + phenylephrine hcl,syrup,oral,"{""manual_review"": false, ""matched_text"": ""10 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 2.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[21],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS008033,Chlophen Syrup (ควบคุมจำนวน) [Chlorpheniramine Maleate 2 mg./5 ml.],chlorpheniramine maleate,syrup,ophthalmic,"{""manual_review"": false, ""matched_text"": ""2 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.4}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[22],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS007038,Cistamine Syrup [Cetirizine 2HCl 5 mg./5 ml.],cetirizine 2hcl,syrup,oral,"{""manual_review"": false, ""matched_text"": ""5 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 1.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[23],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS044519,Lorius Syrup [Desloratadine 0.5 mg./1 ml.],desloratadine,syrup,oral,"{""manual_review"": false, ""matched_text"": ""0.5 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.5}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[24],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS007271,Sea Chlor Syrup (ควบคุมจำนวน) [Chlorpheniramine Maleate 2 mg./5 ml.],chlorpheniramine maleate,syrup,oral,"{""manual_review"": false, ""matched_text"": ""2 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.4}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[25],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS008301,Trandrozine Syrup (ควบคุมจำนวน) [Hydroxyzine HCl 10 mg./5 ml.],hydroxyzine hcl,syrup,oral,"{""manual_review"": false, ""matched_text"": ""10 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 2.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[26],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
