issue_id,severity,disease_key,regimen_id,product_id,generic_name,current_sig,current_dose,current_duration,issue_type,why_suspect,source_status,evidence_status,recommended_action,source_gap_needed,test_case_needed,source_file,source_runtime_path,display_name,issues,id,reasons,source_row,status,correction_id,target_id,action
CLIN_FRM0005_RX2_FAST_SOURCE_GAP,high,uri_rash_adult,FRM0005,BDS004213,Cetirizine dihydrochloride,1 tab PO OD,1 tab PO OD,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[13],,,,,,,,,
CLIN_FRM0005_RX3_FAST_SOURCE_GAP,high,uri_rash_adult,FRM0005,BDS006745,Hydrocortisone Acetate + Mepyramine Maleate,apply thinly BID–TID to itchy rash,apply thinly BID–TID to itchy rash,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[14],,,,,,,,,
CLIN_FRM0005_SWAP1_FAST_SOURCE_GAP,high,uri_rash_adult,FRM0005,BDS003747,Fexofenadine HCl,1 tab PO OD,1 tab PO OD,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[15],,,,,,,,,
CLIN_FRM0005_SWAP2_FAST_SOURCE_GAP,high,uri_rash_adult,FRM0005,BDS045630,Brompheniramine Maleate + Phenylephrine HCl,1 tab PO q4–6h,1 tab PO q4–6h,3–5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[16],,,,,,,,,
CLIN_FRM0006_RX1_FAST_SOURCE_GAP,high,sore_throat_adult,FRM0006,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN fever/pain,1–2 tabs PO q4–6h PRN fever/pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[17],,,,,,,,,
CLIN_FRM0009_RX1_FAST_SOURCE_GAP,high,uri_dry_cough_adult,FRM0009,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN fever/pain,1–2 tabs PO q4–6h PRN fever/pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[18],,,,,,,,,
CLIN_FRM0009_RX2_FAST_SOURCE_GAP,high,uri_dry_cough_adult,FRM0009,BDS045630,Brompheniramine Maleate + Phenylephrine HCl,1 tab PO q4–6h,1 tab PO q4–6h,3–5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[19],,,,,,,,,
CLIN_FRM0009_RX3_FAST_SOURCE_GAP,high,uri_dry_cough_adult,FRM0009,BDS002211,Dextromethorphan HBr,1–2 tabs PO TID,1–2 tabs PO TID,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[20],,,,,,,,,
CLIN_FRM0009_SWAP1_FAST_SOURCE_GAP,high,uri_dry_cough_adult,FRM0009,BDS007973,Dextromethorphan HBr + Glyceryl Guaiacolate + Terpin Hydrate,1–2 tabs PO TID–QID,1–2 tabs PO TID–QID,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[21],,,,,,,,,
CLIN_FRM0009_SWAP2_FAST_SOURCE_GAP,high,uri_dry_cough_adult,FRM0009,BDS003747,Fexofenadine HCl,1 tab PO OD,1 tab PO OD,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[22],,,,,,,,,
CLIN_BDS003679_MISSING_CONCENTRATION,medium,eye_irritation_adult,FRM0010,BDS003679,Polyethylene Glycol 400 + Propylene Glycol + Aminomethylpropanol + Boric Acid,1–2 drops OU / affected eye PRN,1–2 drops OU / affected eye PRN,5–7 days,product_concentration_missing,Liquid/drop/suspension product needs concentration before dose conversion can be trusted.,pending_manual_review,pending_source_collection,source_gap,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[23],,,,,,,,,
CLIN_FRM0011_RX1_FAST_SOURCE_GAP,high,musculoskeletal_pain_adult,FRM0011,BDS002042,Ibuprofen + Polyethylene 400 + Porpylene Glycol,1 cap PO q4–6h PRN pain,1 cap PO q4–6h PRN pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[24],,,,,,,,,
CLIN_FRM0011_SWAP1_FAST_SOURCE_GAP,high,musculoskeletal_pain_adult,FRM0011,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN pain,1–2 tabs PO q4–6h PRN pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[25],,,,,,,,,
CLIN_FRM0012_RX1_FAST_SOURCE_GAP,high,migraine_adult,FRM0012,BDS006840,Eletriptan,1 tab at migraine onset; may repeat once after 2 h,1 tab at migraine onset; may repeat once after 2 h,PRN,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[26],,,,,,,,,
CLIN_FRM0012_RX2_FAST_SOURCE_GAP,high,migraine_adult,FRM0012,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN pain,1–2 tabs PO q4–6h PRN pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[27],,,,,,,,,
CLIN_FRM0013_RX1_FAST_SOURCE_GAP,high,vertigo_adult,FRM0013,BDS006571,Betahistine dihydrochloride,1 tab PO BID,1 tab PO BID,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[28],,,,,,,,,
CLIN_FRM0014_RX1_FAST_SOURCE_GAP,high,oral_ulcer_adult,FRM0014,BDS002430,Lidocaine HCl + Chamomile Flower Extract + Ethanol v/v + Tromethamole w/w,apply to oral ulcer after meals and before bed,apply to oral ulcer after meals and before bed,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[29],,,,,,,,,
CLIN_FRM0015_RX1_FAST_SOURCE_GAP,high,common_cold_adult,FRM0015,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN fever/pain,1–2 tabs PO q4–6h PRN fever/pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[30],,,,,,,,,
CLIN_FRM0015_RX2_FAST_SOURCE_GAP,high,common_cold_adult,FRM0015,BDS045630,Brompheniramine Maleate + Phenylephrine HCl,1 tab PO q4–6h,1 tab PO q4–6h,3–5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[31],,,,,,,,,
CLIN_FRM0015_SWAP1_FAST_SOURCE_GAP,high,common_cold_adult,FRM0015,BDS003747,Fexofenadine HCl,1 tab PO OD,1 tab PO OD,5 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[32],,,,,,,,,
CLIN_FRM0016_RX1_FAST_SOURCE_GAP,high,nasal_blockage_adult,FRM0016,BDS045630,Brompheniramine Maleate + Phenylephrine HCl,1 tab PO q4–6h,1 tab PO q4–6h,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[33],,,,,,,,,
