age_max_months,age_min_months,calculation_formula,contraindicated_age,disease_key,dose_basis,dose_max_mg_per_kg,dose_min_mg_per_kg,duration,final_pediatric_status,fixed_dose,frequency,generic_name,max_mg_per_day,max_mg_per_dose,pediatric_formula_ready,pediatric_rule_id,product_concentration,product_id,rounding_rule,source_ids,volume_formula,weight_max_kg,weight_min_kg,missing_fields
,,,,,,,,,source_missing_hide_from_rx,,,hyoscine n butylbromide,,,False,peds_446d54b97cac,"{""manual_review"": false, ""matched_text"": ""5 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 1.0}",BDS008325,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,glucosamine sulfate sodium,,,False,peds_ad5841a611c5,"{""manual_review"": true, ""matched_text"": ""1500 mg"", ""parse_status"": ""unit_strength_only"", ""review_reason"": ""not_a_liquid_concentration"", ""unit"": ""mg"", ""value"": 1500.0}",BDS007743,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,glucosamine sulfate sodium,,,False,peds_a881b5c70bb4,"{""manual_review"": true, ""matched_text"": ""1500 mg"", ""parse_status"": ""unit_strength_only"", ""review_reason"": ""not_a_liquid_concentration"", ""unit"": ""mg"", ""value"": 1500.0}",BDS043605,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,lactulose,,,False,peds_21d32ca5fb41,"{""manual_review"": false, ""matched_text"": ""66.7 g./100 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 667.0}",BDS007554,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,felodipine,,,False,peds_4a2b93248e55,"{""manual_review"": true, ""matched_text"": ""5 mg"", ""parse_status"": ""unit_strength_only"", ""review_reason"": ""not_a_liquid_concentration"", ""unit"": ""mg"", ""value"": 5.0}",BDS043130,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,losartan potassium,,,False,peds_e6385ee5098a,"{""manual_review"": true, ""matched_text"": ""100 mg"", ""parse_status"": ""unit_strength_only"", ""review_reason"": ""not_a_liquid_concentration"", ""unit"": ""mg"", ""value"": 100.0}",BDS044532,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,nifedipine,,,False,peds_593c23a69f46,"{""manual_review"": true, ""matched_text"": ""20 mg"", ""parse_status"": ""unit_strength_only"", ""review_reason"": ""not_a_liquid_concentration"", ""unit"": ""mg"", ""value"": 20.0}",BDS002808,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,metformin hcl,,,False,peds_ac5b44d20441,"{""manual_review"": true, ""matched_text"": ""1000 mg"", ""parse_status"": ""unit_strength_only"", ""review_reason"": ""not_a_liquid_concentration"", ""unit"": ""mg"", ""value"": 1000.0}",BDS043610,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,chloramphenicol,,,False,peds_6eb9b1a4ef8d,"{""manual_review"": false, ""matched_text"": ""5 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 5.0}",BDS001437,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,fusidic acid + preservative,,,False,peds_ba1fe5067123,"{""manual_review"": true, ""matched_text"": ""0.1%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.1}",BDS001847,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,neomycin sulfate + polymyxin b sulfate + gramicidin,,,False,peds_94d2e05c0761,"{""manual_review"": false, ""matched_text"": ""0.025 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.025}",BDS003181,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,dexamethasone sodium phosphate + chloramphenicol + tetrahydrozoline hcl,,,False,peds_1e7271805230,"{""manual_review"": false, ""matched_text"": ""0.25 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.25}",BDS041404,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,dexamethasone sodium phosphate + neomycin sulfate,,,False,peds_755f97e7bf72,"{""manual_review"": true, ""matched_text"": ""0.1 %"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.1}",BDS001632,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,fluorometholone + polyvinyl alcohol + sodium chloride + sodium phosphste monobasic,,,False,peds_e277d7b5ecdd,"{""manual_review"": true, ""matched_text"": ""0.1 %"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.1}",BDS006181,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,tobramycin + dexamethasone + tyloxapol + sodium chloride,,,False,peds_765db2f7fe9d,"{""manual_review"": true, ""matched_text"": ""0.3%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.3}",BDS003862,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,citrate/borate buffer + sodium chloride + edetate disodium + peg 11 lauryl ether carboxylic acid,,,False,peds_f4727f953776,"{""manual_review"": true, ""matched_text"": ""0.05%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.05}",BDS001551,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,hypromellose + sodium chloride + boric acid + potassium chloride,,,False,peds_6a11b7c718d5,"{""manual_review"": true, ""matched_text"": ""0.3%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.3}",BDS002107,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,hypromellose w/v,,,False,peds_56fb97920b0f,"{""manual_review"": true, ""matched_text"": ""0.3%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.3}",BDS045617,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,hypromellose + preservative,,,False,peds_4ec79ddf9f17,"{""manual_review"": true, ""matched_text"": ""0.3%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.3}",BDS046204,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,citrate buffer + sodium chloride + preservative,,,False,peds_fbd91c8b66e5,"{""manual_review"": true, ""matched_text"": ""0.05%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.05}",BDS003102,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,povidone + boric acid + potassium chloride + sodium chloride,,,False,peds_bc156d8e6fc8,"{""manual_review"": true, ""matched_text"": ""0.1%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.1}",BDS001204,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,hypromellose usp + preservative,,,False,peds_380e78aeca1d,"{""manual_review"": true, ""matched_text"": ""0.3%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.3}",BDS047647,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,polyethylene glycol 400 + propylene glycol + aminomethylpropanol + boric acid,,,False,peds_ff53fa78046e,"{""manual_review"": true, ""matched_text"": ""0.4%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.4}",BDS047637,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,polyethylene glycol 400 + propylene glycol + aminomethylpropanol + boric acid,,,False,peds_19a25a6439e3,"{""manual_review"": true, ""matched_text"": ""0.4%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.4}",BDS003679,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,carboxymethyl cellulose sodium w/v + preservative,,,False,peds_d884bf35e33f,"{""manual_review"": true, ""matched_text"": ""0.5%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.5}",BDS003765,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,triamcinolone acetonide,,,False,peds_e26cbcad6e54,"{""manual_review"": true, ""matched_text"": ""0.1%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.1}",BDS007548,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,triamcinolone acetonide,,,False,peds_2112a0eb9b23,"{""manual_review"": true, ""matched_text"": ""0.1%"", ""parse_status"": ""parsed_percent"", ""review_reason"": ""percent_strength_requires_route_specific_interpretation"", ""unit"": ""percent"", ""value"": 0.1}",BDS003750,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,docusate sodium w/v,,,False,peds_683b773abc52,"{""manual_review"": false, ""matched_text"": ""5 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 5.0}",BDS001712,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
,,,,,,,,,source_missing_hide_from_rx,,,triamcinolone acetonide + preservative + อื่นๆ,,,False,peds_c55fbba0a3d8,"{""manual_review"": true, ""matched_text"": ""9.075 mg"", ""parse_status"": ""unit_strength_only"", ""review_reason"": ""not_a_liquid_concentration"", ""unit"": ""mg"", ""value"": 9.075}",BDS002874,,,,,,source; age/BW; dose formula; max dose; concentration/rounding as applicable
