adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids,product_match_gap_reason
1 tab PO OD,5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_11be435a3285,,False,SWAP2,SWAP,BDS003747,FRM0009,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_6b176b039f60,,False,SWAP2,SWAP,BDS003747,FRM0009,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_68039811ff62,,False,SWAP2,SWAP,BDS003747,FRM0009,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,gold_regimen_67281e50666b,,False,RX1,RX NOW,BDS008282,FRM0004,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 cap PO q8h,2–3 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Racecadotril 100 mg.,gold_regimen_9899a058875a,,False,SWAP2,SWAP,BDS043842,FRM0004,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 sachet in 150 mL water; sip frequently / after each loose stool,1–2 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Glucose Anhydrous 3 g.+Sodium Chloride 0.53 g.+Potassium Chloride 0.23 g.+Sodium Citrate Dihydrate 0.44 g.,gold_regimen_cf3a2bd6167a,,False,RX1,RX NOW,BDS008282,FRM0004,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 cap PO q8h,2–3 days,,,,acute_watery_diarrhea_adult,Acute infectious diarrhea / viral gastroenteritis,False,False,source_missing_hide_from_rx,False,Racecadotril 100 mg.,gold_regimen_fac6426a485f,,False,SWAP2,SWAP,BDS043842,FRM0004,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_14f0119c5e37,,False,RX1,RX NOW,BDS003762,FRM0005,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_f1b2cd56043f,,False,RX2,RX NOW,BDS004213,FRM0005,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1 tab PO OD,5 days,,,,uri_rash_adult,Acute viral URI with viral/allergic rash,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_429f5424efe2,,False,SWAP1,SWAP,BDS003747,FRM0005,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1–2 drops OU / affected eye PRN,5–7 days,,,,eye_irritation_adult,Eye irritation / dust exposure,False,False,source_missing_hide_from_rx,False,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),gold_regimen_e8a834132b8a,,False,RX2,RX NOW,BDS004035,FRM0010,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1–2 drops OU / affected eye PRN,5–7 days,,,,eye_irritation_adult,Eye irritation / dust exposure,False,False,source_missing_hide_from_rx,False,Polyethylene Glycol 400 0.4%+Propylene Glycol 0.3%+Aminomethylpropanol+//Boric Acid+Hydroxypropyl guar+Potassium Chloride+Sodium Chloride+Sorbitol+Hydrochloric Acid+Sodium Hydroxide+Preservative (Polyquaternium-1 0.001%),gold_regimen_4b0503c1e0a5,,False,SWAP2,SWAP,BDS003679,FRM0010,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
