query_id,priority,product_id,product_name,generic_name,disease_key,source_category,source_target,query,expected_fields,retrieval_status,notes
gq_4a7a81cd2b65,A,BDS001847,Fucithalmic Eye Drops [Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.],Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,bacterial_conjunctivitis_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,bacterial_conjunctivitis_adult guideline Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_98b8b19d9032,A,BDS003721,"Terramycin Ophthalmic Ointment [Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.]","Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.",bacterial_conjunctivitis_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,"bacterial_conjunctivitis_adult guideline Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g. dose duration",indication; adult dose; route; frequency; duration; red flags,queued,
gq_e4935e6a68ca,A,BDS001437,ChlorOph Eye Drops [Chloramphenicol 5 mg./1 ml.],Chloramphenicol 5 mg./1 ml.,bacterial_conjunctivitis_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,bacterial_conjunctivitis_peds guideline Chloramphenicol 5 mg./1 ml. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_ca8b52657f2b,A,BDS001847,Fucithalmic Eye Drops [Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.],Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,bacterial_conjunctivitis_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,bacterial_conjunctivitis_peds guideline Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_512d87991b81,A,BDS003721,"Terramycin Ophthalmic Ointment [Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.]","Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.",bacterial_eyelid_infection_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,"bacterial_eyelid_infection_adult guideline Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g. dose duration",indication; adult dose; route; frequency; duration; red flags,queued,
gq_e03b193c9a11,A,BDS001847,Fucithalmic Eye Drops [Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.],Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,bacterial_eyelid_infection_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,bacterial_eyelid_infection_adult guideline Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_1818d4fab3e2,A,BDS003721,"Terramycin Ophthalmic Ointment [Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.]","Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g.",bacterial_eyelid_infection_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,"bacterial_eyelid_infection_peds guideline Oxytetracycline HCl 5 mg.+Polymyxin B Sulfate 10,000 units/1 g. dose duration",indication; adult dose; route; frequency; duration; red flags,queued,
gq_503e186d5db4,A,BDS001847,Fucithalmic Eye Drops [Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.],Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g.,bacterial_eyelid_infection_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,bacterial_eyelid_infection_peds guideline Fusidic acid 10 mg.+Preservative (Benzalkonium chloride 0.1%)/ 1 g. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_a9f5d754a763,A,BDS001047,AMK 457 [Amoxicillin 400 mg.+Clavulanic Acid 57 mg./5 ml.],Amoxicillin 400 mg.+Clavulanic Acid 57 mg./5 ml.,bacterial_sinusitis_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,bacterial_sinusitis_peds guideline Amoxicillin 400 mg.+Clavulanic Acid 57 mg./5 ml. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_52e918800435,A,BDS044320,Klean & Kare Saline เล็ก [Sodium Chloride 0.9 g./100 ml.],Sodium Chloride 0.9 g./100 ml.,bacterial_sinusitis_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,bacterial_sinusitis_peds guideline Sodium Chloride 0.9 g./100 ml. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
