source_id,source_title,organization,year_version,source_url_local_file,access_date,disease_key,regimen_id,product_id,generic_name,claim_type,short_snippet,page_or_section,evidence_confidence,row_status,used_for_ready
cdc_shingles_clinical_overview,Clinical Overview of Shingles (Herpes Zoster),Centers for Disease Control and Prevention,,https://www.cdc.gov/shingles/hcp/clinical-overview/index.html,,,,,,disease_strategy,hours of symptom onset. Diagnose and treat early to prevent progressive corneal involvement and potential vision loss. There are three preferred antiviral drugs available for the initial treatment of shingles: Acyclovir Valacyclovir Famciclovir These antivirals accelerate the resolution of lesions; reduce the development of new lesions and viral shedding; and decrease the severity of acute pain. Discuss treatment opt,text search snippet,medium,indication_verified_dose_missing,no
cdc_shingles_clinical_overview,Clinical Overview of Shingles (Herpes Zoster),Centers for Disease Control and Prevention,,https://www.cdc.gov/shingles/hcp/clinical-overview/index.html,,,,,,timing_window,"lla-Zoster Virus (VZV) Learn about lab testing for varicella-zoster virus, the cause of chickenpox and shingles. May 10, 2024 Treatment and recovery Diagnose and treat early! Treatment is most effective within 72 hours of symptom onset. Diagnose and treat early to prevent progressive corneal involvement and potential vision loss. There are three preferred antiviral drugs available for the initial treatment of shingle",text search snippet,medium,usable_with_warning,no
cdc_sti_herpes_guideline,Sexually Transmitted Infections Treatment Guidelines: Herpes,Centers for Disease Control and Prevention,,https://www.cdc.gov/std/treatment-guidelines/herpes.htm,,,,,,disease_strategy,"ffect the risk, frequency, or severity of recurrences after the drug is discontinued. Randomized trials have indicated that three FDA-approved antiviral medications provide clinical benefit for genital herpes: acyclovir, valacyclovir, and famciclovir ( 463 – 471 ). Valacyclovir is the valine ester of acyclovir and has enhanced absorption after oral administration, allowing for less frequent dosing than acyclovir. Fam",text search snippet,medium,indication_verified_dose_missing,no
who_eml_emlc_lists,WHO Model Lists of Essential Medicines,World Health Organization,,https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/essential-medicines-lists,,,,,,product_label_composition,WHO Model Lists of Essential Medicines Skip to main content When autocomplete results are available use up and down arrows to review and enter to select. Select language Select language English All topics A B C D E F G H I J K L,text search snippet,low,label_verified_only,no
nice_sore_throat_antimicrobial,Sore throat (acute): antimicrobial prescribing,National Institute for Health and Care Excellence,,https://www.nice.org.uk/guidance/ng84,,,,,,no_antibiotic_criteria,"escribing NICE guideline Reference number: NG84 Published: 26 January 2018 Download guidance (PDF) Overview This guideline sets out an antimicrobial prescribing strategy for acute sore throat. It aims to limit antibiotic use and reduce antimicrobial resistance. Acute sore throat is often caused by a virus, lasts for about a week, and most people get better without antibiotics. Withholding antibiotics rarely leads to",text search snippet,medium,usable_with_warning,no
