bds,product_name,generic_group,category,form,pediatric_target_status,supported_target_modes,default_target_mode,default_target_value,default_target_unit,fixed_amount_min_per_dose,fixed_amount_max_per_dose,fixed_amount_unit,reference_source_product,reference_source_shortcut,reference_frequency,reference_duration,reference_dispense,same_generic_reference_count,same_generic_reference_disease_keys,notes
BDS002701,Myonal 50 mg (10 tabs),Eperisone hydrochloride,Muscle relaxants,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001071,Avamigran (1 blister),Ergotamine tartrate + Caffeine,Migraine-specific drugs,other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001405,Cafergot (10 tabs),Ergotamine tartrate + Caffeine,Migraine-specific drugs,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001404,Tofago (10 tabs),Ergotamine tartrate + Caffeine,Migraine-specific drugs,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS008121,Rintacin (10 tabs),Erythromycin stearate,Respiratory antibiotics,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002898,Nexium 20 mg (14 tabs),Esomeprazole,"Acid suppression, antacids & gastroprotection",tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002903,Nexium 40 mg (14 tabs),Esomeprazole,"Acid suppression, antacids & gastroprotection",tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001023,Alcohol Alsoff กลาง (180 ml.),Ethyl Alcohol Solution 70% v/v,"Saline, wound cleansing & irrigation",other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001018,Alcohol Alsoff ใหญ่ (450 ml.),Ethyl Alcohol Solution 70% v/v,"Saline, wound cleansing & irrigation",other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001076,Arcoxia 120 mg (5 tabs),Etoricoxib,NSAIDs (oral anti-inflammatory painkillers),tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
