bds,product_name,generic_group,category,form,pediatric_target_status,supported_target_modes,default_target_mode,default_target_value,default_target_unit,fixed_amount_min_per_dose,fixed_amount_max_per_dose,fixed_amount_unit,reference_source_product,reference_source_shortcut,reference_frequency,reference_duration,reference_dispense,same_generic_reference_count,same_generic_reference_disease_keys,notes
BDS008609,Ampol Suspension (60 ml.),Paracetamol,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS002407,Kit-F Drops (15 ml.),Paracetamol,General analgesics & antipyretics,drops,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS007583,Newtamol Syrup (60 ml.),Paracetamol,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS002861,Panadol Orange Suspension (60 ml.),Paracetamol,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS002847,Panadol Strawberry Suspension (60 ml.),Paracetamol,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS008137,Poro Suspension (60 ml.),Paracetamol,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003597,Sara Infant Drops (รสองุ่น) (15 ml.),Paracetamol,General analgesics & antipyretics,drops,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003596,Sara น้ำรสสตรอเบอร์รี่ (60 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003504,Sara น้ำรสส้ม (60 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003600,Sara น้ำรสองุ่น (60 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003711,Tempra Drop (15 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003712,Tempra Forte (60 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS048670,Tempra Kids Orange (60 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003713,Tempra Kids Strawberry (60 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003737,Tylenol Drop (15 ml.),Paracetamol,General analgesics & antipyretics,other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS002691,Mucolid Junior บลูเบอร์รี่ (60 ml.),ambroxol syrup,"Cough, mucolytics & expectorants",other,auto_mapped_from_same_generic_reference,auto|mgdose,auto,30.0,mg,30.0,30.0,mg,Mucolid Junior บลูเบอร์รี่ (60 ml.),2 tsp TID,TID,3 days,1 bottle (60 mL),1,uri_wet_cough_peds,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS001257,Bisolvon EX Syrup เล็ก (60 ml.),bromhexine syrup,"Cough, mucolytics & expectorants",syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,,mg,100.0,200.0,mg,Bisolvon EX Syrup เล็ก (60 ml.),1–2 tsp TID–QID,TID–QID,3 days,1 bottle (60 mL),2,post_uri_cough_peds|uri_wet_cough_peds,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS008034,Berclomine Syrup (60 ml.),dicyclomine + simethicone syrup,Carminatives & gas relief,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,50.0,mg,50.0,50.0,mg,Berclomine Syrup (60 ml.),1 tsp QID,QID before meals,3 days,1 bottle (60 mL),1,abdominal_colic_peds,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003763,Tylenol Suspension (60 ml.),paracetamol syrup,General analgesics & antipyretics,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,160.0,mg,160.0,160.0,mg,Tylenol Suspension (60 ml.),5 mL/dose,q4–6h PRN,3 days,1 bottle (60 mL),2,fever_peds|viral_fever_peds_support,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS001013,Air-X Drops (15 ml.),simethicone drops,Carminatives & gas relief,syrup / suspension,auto_mapped_from_same_generic_reference,auto|mgdose,auto,20.0,mg,20.0,20.0,mg,Air-X Drops (15 ml.),0.3 mL TID,TID after meals,3 days,1 bottle (15 mL),1,abdominal_gas_peds,Auto-convert the fixed pediatric reference dose from same generic to this product.
BDS003573,Sulidine CP Plus (ควบคุมจำนวน) (60 ml.),Acetaminophen + Chlorpheniramine maleate + Phenylephrine HCl,Antihistamines & decongestants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007951,Ziga Gel (240 ml.),Al3 + Mg2 + Simethicone,"Acid suppression, antacids & gastroprotection",gel,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS049775,Zenzera-200 Suspension (10 ml.),Albendazole,Antiparasitics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001050,Antacil Gel กลาง (450 ml.),Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,"Acid suppression, antacids & gastroprotection",gel,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001048,Antacil Gel เล็ก (240 ml.),Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,"Acid suppression, antacids & gastroprotection",gel,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS040608,Belcid Forte Suspension (240 ml.),Aluminium Hydroxide Gel ( + Magnesium Hydroxide + Simethicone,"Acid suppression, antacids & gastroprotection",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007742,Mucobrox (60 ml.),Ambroxol HCl,"Cough, mucolytics & expectorants",other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002654,Mucolid Syrup (60 ml.),Ambroxol HCl,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007586,Newtamox For Oral Suspension (60 ml.),Amoxicillin,Other antibiotics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003549,Sia-Mox Syrup 125 mg (60 ml.),Amoxicillin,Other antibiotics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003550,Sia-Mox Syrup 250 mg (60 ml.),Amoxicillin,Other antibiotics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001056,Augmentin 457 mg (70 ml.),Amoxicillin + Clavulanic Acid,Other antibiotics,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001054,Augmentin ES (50 ml.),Amoxicillin + Clavulanic Acid,Other antibiotics,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001052,Allergis (5 ml.),Antazoline HCl + Tetrahydrozoline HCl,Eye anti-allergy,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003029,Opsa-His (5 ml.),Antazoline HCl + Tetrahydrozoline HCl,Eye anti-allergy,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001084,Azith Oral Suspension (15 ml.),Azithromycin,Other antibiotics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS046209,Onzet Oral Suspension (15 ml.),Azithromycin,Other antibiotics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS004225,Zithromax Dry 200 mg (15 ml.),Azithromycin,Other antibiotics,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001253,Bisolvon Pediatric Syrup (60 ml.),Bromhexine HCl,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007031,Bromhexine Syrup (60 ml.),Bromhexine HCl,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001296,Bisolvon EX Syrup ใหญ่ (125 ml.),Bromhexine HCl + K guaiacolsulphonate,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007003,Asiatapp Infant Drops (ควบคุมจำนวน) (15 ml.),Brompheniramine Maleate + Phenylephrine HCl,Antihistamines & decongestants,drops,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS008047,Asiatapp Syrup (ควบคุมจำนวน) (60 ml.),Brompheniramine Maleate + Phenylephrine HCl,Antihistamines & decongestants,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS040624,Busonase (6 ml.),Budesonide,Nasal sprays & decongestants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003432,Rhinocort Aqua (120 doses),Budesonide,Nasal sprays & decongestants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS006036,Icorin Kids Syrup (60 ml.),Butamirate Citrate,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007033,Bocytin Syrup (60 ml.),Carbocysteine,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS041506,Carboflex Syrup (60 ml.),Carbocysteine,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001495,Cisteine (60 ml.),Carbocysteine,"Cough, mucolytics & expectorants",other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001919,Flemex Kids (60 ml.),Carbocysteine,"Cough, mucolytics & expectorants",other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001920,Flemex Syrup (60 ml.),Carbocysteine,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003697,Solmax Forte Suspension (60 ml.),Carbocysteine,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003782,Solmax Kids Suspension (60 ml.),Carbocysteine,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001441,Cefspan Suspension (30 ml.),Cefixime,Other antibiotics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002206,Ibilex Syrup (60 ml.),Cephalexin,Other antibiotics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007038,Cistamine Syrup (60 ml.),Cetirizine 2HCl,Antihistamines & decongestants,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS008086,Zermed Syrup (60 ml.),Cetirizine 2HCl,Antihistamines & decongestants,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS008033,Chlophen Syrup (ควบคุมจำนวน) (60 ml.),Chlorpheniramine Maleate,Antihistamines & decongestants,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007271,Sea Chlor Syrup (ควบคุมจำนวน) (60 ml.),Chlorpheniramine Maleate,Antihistamines & decongestants,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007682,Xalin Dry Syrup 125 mg (60 ml.),Cloxacillin,Other antibiotics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002659,Mucoflux Syrup (60 ml.),Cyclidrol,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001015,Aerius Syrup (60 ml.),Desloratadine,Antihistamines & decongestants,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS044519,Lorius Syrup (60 ml.),Desloratadine,Antihistamines & decongestants,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS041404,CD-Oph Eye Drops (5 ml.),Dexamethasone Sodium Phosphate + Chloramphenicol + Tetrahydrozoline HCl,Eye anti-allergy,eye drops,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002605,Mar Plus 5% Nasal Spray (20 ml.),Dexpanthenol + Sodium Chloride,Nasal sprays & decongestants,spray,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002813,Nasaline-ISO (30 ml.),Dexpanthenol + Sodium Chloride,Nasal sprays & decongestants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS008031,Cabana Lotion (60 ml.),Diphenhydramine HCl + Calamine + Zinc Oxide,"Anti-itch, eczema & dermatitis topicals",lotion,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001402,Cadramine-V เล็ก (60 ml.),Diphenhydramine HCl + Calamine + Zinc oxide + Camphor,"Anti-itch, eczema & dermatitis topicals",other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001403,Cadramine-V ใหญ่ (120 ml.),Diphenhydramine HCl + Calamine + Zinc oxide + Camphor,"Anti-itch, eczema & dermatitis topicals",other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS042303,Docusate Earwax (15 ml.),Docusate Sodium,Ear care,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001712,Dewax Ear Drops (15 ml.),Docusate Sodium 0.5% w/v,Ear care,ear drops,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002637,Motilium Oral Suspension (30 ml.),Domperidone,Antiemetics & motion sickness,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS046503,Patilum Oral Suspension (30 ml.),Domperidone,Antiemetics & motion sickness,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007589,Newthrocin (60 ml.),Erythromycin,Other antibiotics,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003416,Robitussin DM เล็ก (ควบคุมจำนวน) (60 ml.),Guaifenesin + Dextromethorphan HBr,"Cough, mucolytics & expectorants",other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS008301,Trandrozine Syrup (ควบคุมจำนวน) (60 ml.),Hydroxyzine HCl,Antihistamines & decongestants,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS008325,Oscin Syrup (30 ml.),Hyoscine-N-butylbromide,Antispasmodics & abdominal cramps,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS047663,Seeview Sofs (10 ml.),Hypromellose,Eye care & ocular lubricants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001665,Duran Suspension (60 ml.),Ibuprofen,General analgesics & antipyretics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007151,Ibukids Suspension (60 ml.),Ibuprofen,General analgesics & antipyretics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002845,Nurofen Suspension (60 ml.),Ibuprofen,General analgesics & antipyretics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002684,M-Cin (50 ml.),Indomethacin,Topical pain relief & topical NSAIDs,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002290,Ivorin Syrup (60 ml.),Levodropropizine,"Cough, mucolytics & expectorants",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS008461,Milk of Magnesia C.B. (240 ml.),Magnesium Hydroxide,Laxatives & bowel care,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001231,Benda Syrup กลิ่นผลไม้รวม (30 ml.),Mebendazole,Antiparasitics,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS045641,Nasol Nebuliser (15 ml.),Naphazoline HCl + Chlorpheniramine Maleate,Nasal sprays & decongestants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003181,Poly-Oph Eye Drops (5 ml.),Neomycin Sulfate + Polymyxin B Sulfate + Gramicidin,Ophthalmic antibiotics,eye drops,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002228,Iliadin 0.025% ชนิดหยด (10 ml.),Oxymetazoline Hydrochloride 0.025%,Nasal sprays & decongestants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS043102,Feenoze (20 ml.),Oxymetazoline Hydrochloride 0.05%,Nasal sprays & decongestants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002209,Iliadin 0.05% ชนิดหยด (10 ml.),Oxymetazoline Hydrochloride 0.05%,Nasal sprays & decongestants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS040610,Betadine Throat Spray 12 ml (12 ml.),Povidone-Iodine,Throat & oral care,spray,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS040617,Betadine Throat Spray 25 ml (25 ml.),Povidone-Iodine,Throat & oral care,spray,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS046547,Puvadon Gargle (30 ml.),Povidone-Iodine,Throat & oral care,gargle / mouthwash,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003645,Salbulin Syrup (60 ml.),Salbutamol,Bronchodilators,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003589,Salmol Syrup (60 ml.),Salbutamol,Bronchodilators,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS007133,Gaspec-S (240 ml.),Simethicone + Dried Aluminium Hydroxide gel + Magnesium Hydroxide,"Acid suppression, antacids & gastroprotection",other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003009,Opsar กลาง (120 ml.),Sodium Borate + Boric Acid + Sodium Chloride,Eye care & ocular lubricants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003025,Opsar เล็ก (75 ml.),Sodium Borate + Boric Acid + Sodium Chloride,Eye care & ocular lubricants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002014,Gaviscon Suspension bottle 150 ml (150 ml.),Sodium alginate + Sodium bicarbonate,"Acid suppression, antacids & gastroprotection",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS002013,Gaviscon Suspension sachet 10 ml (10 ml.),Sodium alginate + Sodium bicarbonate + Calcium carbonate,"Acid suppression, antacids & gastroprotection",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS043606,Gaviscon Suspension กล่อง 4 ซอง (4 sachets),Sodium alginate + Sodium bicarbonate + Calcium carbonate,"Acid suppression, antacids & gastroprotection",syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003105,Otrivin Child Spray 0.05% (10 ml.),Xylometazoline Hydrochloride 0.05%,Nasal sprays & decongestants,spray,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS040080,Actavia (10 ml.),Xylometazoline Hydrochloride 0.1%,Nasal sprays & decongestants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS003019,Otrivin 0.1% (10 ml.),Xylometazoline Hydrochloride 0.1%,Nasal sprays & decongestants,other,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001046,AMK 228 (70 ml.),amoxicillin clavulanate syrup,Other antibiotics,bottle,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS001047,AMK 457 (70 ml.),amoxicillin clavulanate syrup,Other antibiotics,bottle,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,0,,Exact mL can be calculated after entering a target.
BDS004212,Zyrtec Syrup (75 ml.),cetirizine syrup,Antihistamines & decongestants,syrup / suspension,calculator_ready_manual_target_needed,mgkg|mgdose,,,mg,,,,,,,,,2,allergic_rhinitis_peds,Exact mL can be calculated after entering a target.
